Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;TIME_LIMIT
2023-8-12;1:21:25;cq;20201020;2641;32;17600.6;16894.8;362.172;43.86;0;134;1909.27;2489.85;8;305327;120;20;25;60;1;300000
2023-8-12;1:21:26;cq;20201031;375;0;1017.65;704.599;0;0;0;15;308.074;128.973;2;309590;120;20;25;60;1;300000
2023-8-12;1:21:26;cq;20201003;613.5;0;3920.43;3879.46;59.5017;35.7267;12;28;421.383;404.595;3;306175;120;20;25;60;1;300000
2023-8-12;1:21:26;cq;20201014;3471;0;22517.2;21412.4;207.735;31.8767;0;136;1170.7;4245.02;8;304575;120;20;25;60;1;300000
2023-8-12;1:21:28;cq;20201010;267;0;745.097;523.463;0;0;0;13;55.8517;0;1;311428;120;20;25;60;1;300000
2023-8-12;1:21:29;cq;20201026;1839.5;0;14387;13720.3;38.4972;19.9611;0;113;2388.11;786.426;8;309436;120;20;25;60;1;300000
2023-8-12;1:21:29;cq;20201125;2413.5;11.5;18191.5;16888.1;564.924;55.1114;0;137;1987.16;2026.47;7;309583;120;20;25;60;1;300000
2023-8-12;1:21:30;cq;20201106;3284.5;66;23251.6;22010.7;1310.53;58.475;0;141;1083.64;2760.89;8;305546;120;20;25;60;1;300000
2023-8-12;1:21:30;cq;20201009;3229;0;18771.6;17303.8;191.025;22.745;0;129;1826.24;3797.12;8;305855;120;20;25;60;1;300000
2023-8-12;1:21:30;cq;20201102;3078.5;0;23493.2;22489.1;353.295;47.7874;0;132;446.297;4130.35;8;304648;120;20;25;60;1;300000
2023-8-12;1:21:31;cq;20201013;1565;0;8633.52;8014.95;35.6494;24.4367;0;99;4282.71;246.744;8;314372;120;20;25;60;1;300000
2023-8-12;1:21:31;cq;20201116;2919.5;20;21245.7;19543.4;655.259;58.3532;0;137;1451.36;2598.71;7;311896;120;20;25;60;1;300000
2023-8-12;1:21:31;cq;20201107;333.5;0;777.252;486.932;0;0;0;18;195.398;0;2;315165;120;20;25;60;1;300000
2023-8-12;1:21:32;cq;20201130;2327.5;0;15296.2;13795.7;231.687;43.7949;0;115;1987.59;1646.4;6;311927;120;20;25;60;1;300000
2023-8-12;1:21:33;cq;20201114;388;0;1721.37;1395.19;0;0;0;18;273.997;162.1;2;312710;120;20;25;60;1;300000
2023-8-12;1:21:36;cq;20201109;1746.5;0;14779.3;13740.5;78.9482;34.2217;0;94;1011.22;2012.32;7;319003;120;20;25;60;1;300000
2023-8-12;1:21:37;cq;20201121;226.5;0;1243.55;958.349;4.29952;4.29952;0;13;15.8302;0;1;320842;120;20;25;60;1;300000
2023-8-12;1:21:38;cq;20201016;2060;0;14224.3;13466.9;118.387;27.9417;0;113;1411.38;771.369;8;318426;120;20;25;60;1;300000
2023-8-12;1:21:38;cq;20201123;2595;0;18962.8;17618.8;285.054;57.21;0;128;1466.76;3295.67;7;317847;120;20;25;60;1;300000
2023-8-12;1:21:40;cq;20201007;2512.5;0;15707.4;14537.2;11.3389;5.78333;0;127;1439.29;1194.28;8;320551;120;20;25;60;1;300000
2023-8-12;1:21:52;cq;20201124;2685.5;0;17847.7;16191.7;699.099;55.72;0;128;1114.91;2311.76;8;332030;120;20;25;60;1;300000
2023-8-12;1:21:54;cq;20201021;1160.5;0;5919.83;5367.93;0;0;0;72;2948.23;762.388;6;335632;120;20;25;60;1;300000
2023-8-12;1:21:57;cq;20201128;776;0;2470.08;1848.3;0;0;0;31;475.842;653.966;3;340175;120;20;25;60;1;300000
2023-8-12;1:22:4;cq;20201002;2893.5;0;17982.9;16782.1;206.61;59.2436;0;131;1219.32;1410.23;8;344207;120;20;25;60;1;300000
2023-8-12;1:22:10;cq;20201120;3379;22.5;22312;20328.4;916.549;55.7374;0;140;1504.18;3406.43;8;345152;120;20;25;60;1;300000
2023-8-12;1:22:21;cq;20201126;2899.5;71.5;22165.9;20754.3;734.934;59.2017;0;133;584.224;1935.15;7;361242;120;20;25;60;1;300000
2023-8-12;1:22:27;cq;20201111;3437.5;0;26136.4;24499.3;344.718;37.985;0;143;804.187;3982.16;8;362734;120;20;25;60;1;300000
2023-8-12;1:22:42;cq;20201024;937.5;0;4289.01;3870.95;0;0;0;34;265.35;856.081;3;384483;120;20;25;60;1;300000
2023-8-12;1:23:36;cq;20201030;3456;57;20398.8;18719.8;862.967;59.365;0;149;2911.57;2972.64;8;312259;120;20;25;60;1;300000
2023-8-12;1:24:5;cq;20201110;3480.5;19;23176.2;21361.8;1075.47;59.9;0;142;540.192;3922.55;8;362390;120;20;25;60;1;300000
2023-8-12;1:24:44;cq;20201118;3504;37;23213.4;21631;792.088;54.7183;0;139;532.626;2317.7;8;352346;120;20;25;60;1;300000
2023-8-12;1:24:49;cq;20201104;3906;47.5;26485.4;25017.8;1240.64;57.4555;0;148;231.485;2949.74;8;310639;120;20;25;60;1;300000
2023-8-12;1:25:30;cq;20201029;3946.5;0;26001.6;24049.1;914.227;57.3405;0;150;495.869;4698.55;8;352270;120;20;25;60;1;300000
2023-8-12;1:25:32;cq;20201006;3739.5;0;26998.6;25475.6;751.388;59.4389;0;138;512.131;6032.28;8;354010;120;20;25;60;1;300000
2023-8-12;1:25:34;cq;20201112;3684.5;0;23467.8;22139.2;270.74;49.3861;0;142;922.073;3716.24;8;356600;120;20;25;60;1;300000
2023-8-12;1:25:36;cq;20201113;3660.5;10;25064.6;23545.8;912.889;56.1283;0;143;321.656;3008.1;8;372886;120;20;25;60;1;300000
2023-8-12;1:29:52;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;5.84857;0;1;613729;120;20;25;60;1;600000
2023-8-12;1:29:52;cq;20201114;388;0;1796.69;1456.18;0;0;0;18;350.389;52.6887;2;614240;120;20;25;60;1;600000
2023-8-12;1:29:53;cq;20201021;1160.5;0;5952.75;5469.31;20.1359;6;22;67;2736.77;787.419;6;604085;120;20;25;60;1;600000
2023-8-12;1:30:3;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;625401;120;20;25;60;1;600000
2023-8-12;1:30:5;cq;20201024;937.5;0;4158.14;3757.84;0;0;0;34;265.35;866.977;3;616219;120;20;25;60;1;600000
2023-8-12;1:30:7;cq;20201003;613.5;0;3723.12;3719.69;30.4314;13.175;0;28;399.97;725.124;3;628701;120;20;25;60;1;600000
2023-8-12;1:30:10;cq;20201128;776;0;2381.4;1765.85;0;0;0;29;1043.33;670.948;3;621448;120;20;25;60;1;600000
2023-8-12;1:30:14;cq;20201031;375;0;1017.65;704.599;0;0;0;15;176.682;118.782;2;636238;120;20;25;60;1;600000
2023-8-12;1:30:19;cq;20201107;333.5;0;787.75;491.104;0;0;0;18;183.553;0;2;640575;120;20;25;60;1;600000
2023-8-12;1:30:55;cq;20201013;1565;0;8946.91;8371.43;20.3427;13.0367;0;96;5185.11;451.162;8;604969;120;20;25;60;1;600000
2023-8-12;1:31:27;cq;20201026;1839.5;0;13989.8;13280;36.3925;10.4183;3;115;2130.45;565.787;8;603577;120;20;25;60;1;600000
2023-8-12;1:31:39;cq;20201007;2512.5;0;15464.5;14239.2;13.8267;8.82667;0;126;1940.55;1542.54;8;603409;120;20;25;60;1;600000
2023-8-12;1:31:44;cq;20201126;2939.5;31.5;22212.2;20719.1;1001.26;56.5443;0;133;601.413;1850.55;7;607198;120;20;25;60;1;600000
2023-8-12;1:31:46;cq;20201116;2939.5;0;22291.7;20592.9;761.756;49.6133;0;137;1194.57;3476.27;7;608487;120;20;25;60;1;600000
2023-8-12;1:31:48;cq;20201124;2685.5;0;18049.7;16194.1;199.463;34.5083;0;128;632.959;3135.52;8;607811;120;20;25;60;1;600000
2023-8-12;1:31:50;cq;20201002;2893.5;0;18026.3;16660.9;327.644;58.8883;0;129;1463.39;1644.58;8;609899;120;20;25;60;1;600000
2023-8-12;1:31:51;cq;20201130;2327.5;0;16106.6;14484.6;190.875;42.3733;0;117;1018.14;1227.65;6;614609;120;20;25;60;1;600000
2023-8-12;1:31:51;cq;20201016;2060;0;13664.9;12899.3;117.051;16.7555;0;112;1896.49;849.542;8;619761;120;20;25;60;1;600000
2023-8-12;1:31:52;cq;20201120;3391.5;10;23361.6;21263;1092.72;56.1267;0;140;1046.59;3126.39;8;610649;120;20;25;60;1;600000
2023-8-12;1:31:52;cq;20201109;1746.5;0;14552.8;13467.8;57.4343;29.8217;0;94;1388.56;1532.83;7;628321;120;20;25;60;1;600000
2023-8-12;1:31:52;cq;20201014;3471;0;24828.3;23731;429.988;36.5333;0;137;335.693;4347.55;8;609468;120;20;25;60;1;600000
2023-8-12;1:31:54;cq;20201102;3078.5;0;23926.3;22964.6;322.182;37.7233;0;132;390.39;3006.64;8;614140;120;20;25;60;1;600000
2023-8-12;1:31:56;cq;20201020;2673;0;18932;18225.4;356.046;49.8633;0;134;1556.34;1777.42;8;617381;120;20;25;60;1;600000
2023-8-12;1:32:3;cq;20201009;3229;0;20568.2;19080.3;206.929;41.7333;0;129;641.962;3531.75;8;622729;120;20;25;60;1;600000
2023-8-12;1:32:4;cq;20201110;3469.5;30;23258.1;21501.4;948.77;59.0264;0;142;706.689;3730.43;8;618365;120;20;25;60;1;600000
2023-8-12;1:32:7;cq;20201125;2425;0;20307.2;18816.8;223.971;48.3217;0;137;1476.26;1370.35;7;631799;120;20;25;60;1;600000
2023-8-12;1:32:9;cq;20201006;3739.5;0;25497;24071.6;721.929;53.5461;0;137;845.824;5963.93;8;610674;120;20;25;60;1;600000
2023-8-12;1:32:10;cq;20201029;3946.5;0;25994;24093.5;681.639;59.185;0;150;847.515;5029.82;8;606512;120;20;25;60;1;600000
2023-8-12;1:32:14;cq;20201030;3513;0;20851.4;19171.9;987.643;59.365;0;149;2488.7;3160.24;8;627874;120;20;25;60;1;600000
2023-8-12;1:32:20;cq;20201112;3684.5;0;24370.4;22968.9;282.444;27.2517;0;142;469.429;3927.51;8;629186;120;20;25;60;1;600000
